id,age,sex,region,income,married,children,car,saving_ac,current_ac,cross_sell
ID12101,48,MALE,INNER_CITY,17546,YES,1,NO,NO,NO,YES
ID12102,40,MALE,TOWN,30085.1,YES,3,NO,NO,YES,NO
ID12103,51,FEMALE,INNER_CITY,15461,YES,0,YES,YES,YES,NO
ID12104,23,MALE,TOWN,20375.4,YES,3,NO,NO,YES,NO
ID12105,57,FEMALE,RURAL,34166,YES,0,NO,YES,NO,NO
ID12106,48,FEMALE,TOWN,37869.6,YES,2,NO,NO,NO,YES
ID12107,22,MALE,RURAL,8877.07,NO,0,NO,NO,YES,YES
ID12108,58,MALE,TOWN,16194,YES,0,YES,YES,YES,NO
ID12109,37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO
ID12110,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO
ID12111,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO
ID12112,33,FEMALE,INNER_CITY,30809,NO,0,YES,YES,YES,NO
ID12113,44,FEMALE,RURAL,15735.8,YES,1,NO,NO,NO,YES
ID12114,66,FEMALE,TOWN,16921,YES,1,YES,YES,YES,YES
ID12115,35,MALE,RURAL,10024,YES,0,NO,YES,YES,NO
ID12116,38,FEMALE,INNER_CITY,39552,YES,0,YES,YES,YES,NO
ID12117,50,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,NO
ID12118,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,NO
ID12119,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,YES,YES
ID12120,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO
ID12121,37,MALE,INNER_CITY,42192,YES,2,NO,NO,NO,YES
ID12122,40,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO
ID12123,54,MALE,INNER_CITY,38446.6,YES,0,NO,NO,YES,NO
ID12124,27,FEMALE,TOWN,42376,NO,0,YES,YES,YES,NO
ID12125,35,MALE,TOWN,12640.3,NO,2,YES,YES,YES,NO
ID12126,56,MALE,INNER_CITY,33993,YES,0,YES,YES,YES,NO
ID12127,45,MALE,RURAL,20809.7,YES,0,NO,NO,YES,NO
ID12128,39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,YES
ID12129,39,FEMALE,INNER_CITY,29359.1,YES,4,YES,YES,YES,NO
ID12130,61,MALE,RURAL,24270.1,YES,1,NO,NO,NO,YES
ID12131,61,MALE,INNER_CITY,22942.9,YES,2,NO,YES,YES,NO
ID12132,32,FEMALE,TOWN,16325.8,YES,2,NO,NO,NO,NO
ID12133,45,MALE,TOWN,23443.2,YES,1,YES,YES,YES,YES
ID12134,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO
ID12135,43,MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,YES
ID12136,27,FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,NO
ID12137,19,MALE,RURAL,10953,YES,3,YES,YES,YES,NO
ID12138,36,MALE,RURAL,13381,NO,0,YES,YES,YES,YES
ID12139,43,FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO
ID12140,66,FEMALE,SUBURBAN,41995,NO,2,NO,NO,YES,NO
ID12141,55,MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES
ID12142,47,FEMALE,INNER_CITY,26952.6,YES,3,YES,YES,YES,NO
ID12143,67,MALE,TOWN,33441,YES,2,NO,YES,NO,YES
ID12144,32,FEMALE,TOWN,45962,YES,0,YES,YES,YES,NO
ID12145,26,MALE,INNER_CITY,18405,YES,3,YES,YES,YES,NO
ID12146,64,MALE,RURAL,52670.6,YES,2,NO,NO,YES,YES
ID12147,50,FEMALE,INNER_CITY,13283.9,NO,1,YES,YES,YES,YES
ID12148,29,FEMALE,INNER_CITY,10229,NO,2,NO,YES,YES,YES
ID12149,50,FEMALE,INNER_CITY,39547.8,NO,2,NO,NO,NO,YES
ID12150,49,FEMALE,RURAL,17867.3,YES,2,YES,YES,NO,NO
ID12151,24,FEMALE,TOWN,40169,NO,2,YES,YES,NO,NO
ID12152,36,MALE,TOWN,23894.8,YES,0,NO,NO,NO,NO
ID12153,43,MALE,TOWN,16259.7,YES,2,YES,YES,YES,YES
ID12154,48,MALE,SUBURBAN,29794.1,NO,0,NO,NO,YES,YES
ID12155,33,MALE,RURAL,56842.5,YES,0,NO,YES,YES,NO
ID12156,31,FEMALE,RURAL,47835.8,NO,3,NO,YES,YES,YES
ID12157,32,FEMALE,INNER_CITY,24977.5,NO,0,NO,NO,YES,YES
ID12158,33,MALE,INNER_CITY,33539,YES,0,YES,YES,YES,YES
ID12159,29,FEMALE,INNER_CITY,15143.8,NO,0,NO,NO,YES,NO
ID12160,35,MALE,TOWN,41651,NO,1,YES,YES,YES,YES
ID12161,42,FEMALE,INNER_CITY,24763.3,YES,1,NO,YES,YES,YES
ID12162,65,FEMALE,INNER_CITY,49453,NO,1,YES,NO,YES,YES
ID12163,48,FEMALE,INNER_CITY,27022.6,YES,2,YES,YES,YES,NO
ID12164,31,MALE,RURAL,11700.4,YES,0,NO,YES,NO,NO
ID12165,31,FEMALE,TOWN,5014.21,NO,0,YES,YES,YES,NO
ID12166,34,MALE,RURAL,15075,NO,0,NO,YES,YES,NO
ID12167,19,MALE,TOWN,35506,YES,2,NO,YES,YES,NO
ID12168,41,FEMALE,TOWN,34892.9,NO,0,NO,YES,YES,NO
ID12169,30,MALE,TOWN,19403.1,NO,2,NO,YES,YES,NO
ID12170,31,FEMALE,RURAL,15119,YES,2,YES,YES,YES,YES
ID12171,25,FEMALE,INNER_CITY,14064.9,YES,3,YES,YES,YES,NO
ID12172,21,MALE,INNER_CITY,8062.73,NO,0,NO,NO,YES,YES
ID12173,36,MALE,INNER_CITY,23461,YES,3,YES,YES,YES,YES
ID12174,58,FEMALE,INNER_CITY,23197.5,YES,2,YES,YES,NO,NO
ID12175,46,FEMALE,INNER_CITY,52674,NO,2,YES,YES,YES,YES
ID12176,26,MALE,RURAL,35610.5,NO,0,YES,NO,NO,YES
ID12177,45,FEMALE,TOWN,15867,NO,0,NO,YES,YES,NO
ID12178,61,MALE,INNER_CITY,49456.7,YES,1,YES,YES,YES,YES
ID12179,30,FEMALE,INNER_CITY,14724.5,NO,0,NO,NO,YES,NO
ID12180,58,FEMALE,TOWN,34524.9,YES,1,YES,YES,NO,YES
ID12181,50,MALE,TOWN,22052.1,YES,2,NO,YES,NO,YES
ID12182,27,MALE,INNER_CITY,27808.1,NO,3,NO,NO,YES,NO
ID12183,29,FEMALE,INNER_CITY,12591.4,YES,1,NO,YES,YES,NO
ID12184,35,MALE,INNER_CITY,23763,YES,1,NO,YES,NO,YES
ID12185,62,MALE,INNER_CITY,16054,YES,2,NO,NO,YES,YES
ID12186,36,MALE,INNER_CITY,31683.1,YES,1,YES,YES,YES,YES
ID12187,25,FEMALE,RURAL,15525,YES,3,NO,YES,YES,NO
ID12188,30,FEMALE,TOWN,22562.2,NO,0,YES,YES,YES,NO
ID12189,30,MALE,SUBURBAN,15848.7,YES,0,NO,YES,NO,NO
ID12190,54,FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,NO,YES
ID12191,37,MALE,TOWN,24814.5,YES,0,YES,NO,YES,YES
ID12192,28,FEMALE,INNER_CITY,25429.3,NO,2,NO,YES,YES,NO
ID12193,53,FEMALE,RURAL,34866.5,NO,0,NO,NO,YES,YES
ID12194,61,MALE,INNER_CITY,42579.1,YES,2,YES,YES,YES,NO
ID12195,61,MALE,INNER_CITY,41127.4,YES,0,NO,YES,NO,NO
ID12196,18,FEMALE,INNER_CITY,9990.11,YES,0,NO,YES,NO,NO
ID12197,22,MALE,RURAL,7948.62,YES,1,NO,NO,NO,NO
ID12198,34,MALE,TOWN,30870.8,YES,2,YES,YES,NO,YES
ID12199,30,FEMALE,INNER_CITY,12125.8,NO,2,NO,YES,YES,NO
ID12200,18,FEMALE,RURAL,15348.9,YES,1,YES,NO,YES,NO
ID12201,27,FEMALE,INNER_CITY,17478,YES,2,NO,YES,NO,YES
ID12202,27,FEMALE,INNER_CITY,36935,YES,2,YES,YES,NO,NO
ID12203,42,MALE,INNER_CITY,15499.9,YES,0,YES,NO,YES,YES
ID12204,43,FEMALE,TOWN,33088.5,NO,0,NO,YES,NO,NO
ID12205,64,FEMALE,INNER_CITY,34513.6,YES,1,NO,YES,NO,YES
ID12206,43,MALE,TOWN,33355,YES,3,NO,YES,YES,NO
ID12207,38,MALE,RURAL,27339,YES,0,NO,YES,NO,NO
ID12208,23,MALE,INNER_CITY,48938,NO,0,YES,NO,YES,NO
ID12209,23,FEMALE,INNER_CITY,12681.9,NO,0,NO,YES,YES,YES
ID12210,30,FEMALE,INNER_CITY,24031.5,YES,2,YES,YES,YES,NO
ID12211,36,MALE,TOWN,37330.5,YES,2,NO,NO,YES,YES
ID12212,34,FEMALE,INNER_CITY,25333.2,YES,3,YES,NO,NO,NO
ID12213,51,FEMALE,INNER_CITY,37094.2,YES,0,YES,YES,YES,NO
ID12214,36,MALE,TOWN,33630.6,YES,2,YES,YES,YES,YES
ID12215,56,MALE,INNER_CITY,43228.2,YES,2,YES,YES,YES,YES
ID12216,54,FEMALE,INNER_CITY,47796.8,YES,0,YES,YES,NO,NO
ID12217,56,FEMALE,TOWN,21730.3,YES,2,NO,YES,NO,NO
ID12218,26,MALE,INNER_CITY,10044.1,YES,3,NO,NO,NO,NO
ID12219,39,MALE,TOWN,17270.1,YES,0,YES,NO,NO,YES
ID12220,64,FEMALE,TOWN,45765,YES,2,YES,YES,YES,YES
ID12221,46,MALE,RURAL,29525.5,NO,2,NO,YES,NO,NO
ID12222,62,FEMALE,RURAL,54863.8,YES,0,YES,YES,YES,YES
ID12223,36,FEMALE,TOWN,41395,YES,2,NO,YES,NO,YES
ID12224,35,FEMALE,RURAL,33028.3,NO,1,YES,YES,YES,YES
ID12225,47,MALE,RURAL,45031.9,NO,3,YES,YES,NO,YES
ID12226,47,MALE,INNER_CITY,39010.8,YES,2,NO,NO,YES,YES
ID12227,37,FEMALE,TOWN,25257.7,YES,0,YES,YES,YES,NO
ID12228,48,FEMALE,INNER_CITY,42603.9,YES,0,NO,YES,YES,NO
ID12229,41,MALE,TOWN,14092.7,YES,3,YES,YES,YES,NO
ID12230,27,FEMALE,RURAL,20867,NO,0,YES,YES,YES,YES
ID12231,43,MALE,INNER_CITY,23246.4,YES,2,NO,NO,YES,NO
ID12232,61,MALE,RURAL,41609.5,YES,3,YES,YES,YES,NO
ID12233,52,FEMALE,SUBURBAN,16716.1,NO,0,YES,YES,YES,NO
ID12234,64,FEMALE,SUBURBAN,36436.4,YES,0,YES,NO,YES,NO
ID12235,66,MALE,TOWN,59503.8,YES,2,YES,YES,YES,YES
ID12236,53,FEMALE,TOWN,31334.8,YES,1,YES,YES,NO,YES
ID12237,20,FEMALE,INNER_CITY,36403,YES,2,YES,NO,YES,NO
ID12238,32,FEMALE,INNER_CITY,39205.3,NO,0,NO,YES,YES,YES
ID12239,65,FEMALE,RURAL,47944,YES,1,YES,YES,YES,NO
ID12240,27,FEMALE,INNER_CITY,55263,NO,1,NO,YES,YES,YES
ID12241,52,MALE,INNER_CITY,37095.2,YES,3,NO,YES,YES,NO
ID12242,47,FEMALE,INNER_CITY,22791.4,YES,0,NO,NO,YES,NO
ID12243,28,FEMALE,TOWN,17240.6,YES,1,YES,NO,NO,NO
ID12244,64,MALE,TOWN,14622,YES,1,YES,YES,YES,NO
ID12245,25,MALE,INNER_CITY,43067,YES,1,NO,YES,YES,YES
ID12246,58,MALE,SUBURBAN,20443,YES,0,NO,YES,YES,YES
ID12247,34,MALE,TOWN,20236.2,YES,2,NO,NO,YES,NO
ID12248,44,FEMALE,RURAL,18860.3,NO,0,NO,NO,NO,NO
ID12249,47,MALE,RURAL,25732.5,YES,0,YES,YES,YES,NO
ID12250,46,FEMALE,TOWN,28240.4,YES,1,YES,YES,YES,NO
ID12251,53,MALE,RURAL,28193.6,YES,0,YES,YES,YES,YES
ID12252,43,MALE,TOWN,36432.8,YES,2,NO,NO,NO,YES
ID12253,63,MALE,RURAL,43185,YES,2,NO,YES,NO,YES
ID12254,33,MALE,INNER_CITY,24760.8,YES,1,NO,YES,YES,YES
ID12255,41,MALE,RURAL,23356.1,NO,0,YES,NO,NO,NO
ID12256,20,FEMALE,SUBURBAN,8143.75,YES,2,NO,YES,YES,YES
ID12257,50,MALE,TOWN,48346,YES,1,YES,YES,YES,NO
ID12258,24,MALE,RURAL,20467.3,NO,0,YES,YES,YES,NO
ID12259,60,FEMALE,TOWN,21506.2,YES,3,NO,NO,YES,YES
ID12260,43,MALE,TOWN,15315.3,YES,1,NO,YES,YES,YES
ID12261,23,MALE,INNER_CITY,18875.7,YES,2,YES,YES,YES,NO
ID12262,40,FEMALE,INNER_CITY,12977.2,YES,0,YES,NO,NO,NO
ID12263,49,FEMALE,TOWN,20708.5,NO,3,NO,NO,YES,NO
ID12264,21,FEMALE,TOWN,7549.38,NO,1,YES,NO,YES,NO
ID12265,49,FEMALE,INNER_CITY,24904,YES,0,NO,NO,NO,NO
ID12266,26,MALE,RURAL,24071.8,YES,1,NO,NO,YES,YES
ID12267,20,MALE,TOWN,9589.91,NO,1,NO,YES,YES,NO
ID12268,24,MALE,RURAL,8562.86,NO,1,NO,NO,NO,NO
ID12269,37,FEMALE,TOWN,46118,NO,0,YES,YES,YES,NO
ID12270,45,MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO
ID12271,40,MALE,INNER_CITY,40994,YES,0,YES,YES,YES,NO
ID12272,22,MALE,INNER_CITY,19726.3,YES,2,NO,NO,NO,NO
ID12273,30,MALE,INNER_CITY,24346.6,YES,3,YES,YES,YES,NO
ID12274,34,MALE,RURAL,26999.4,YES,3,YES,YES,YES,YES
ID12275,67,MALE,TOWN,41558.1,YES,2,NO,YES,YES,YES
ID12276,58,FEMALE,INNER_CITY,56340.3,NO,0,YES,YES,YES,YES
ID12277,40,MALE,TOWN,37558.5,YES,0,YES,YES,YES,NO
ID12278,50,FEMALE,INNER_CITY,30099.3,YES,0,YES,YES,YES,YES
ID12279,43,MALE,INNER_CITY,15254.8,YES,0,NO,NO,NO,YES
ID12280,46,MALE,RURAL,36086.1,YES,2,NO,NO,YES,YES
ID12281,38,FEMALE,RURAL,17655,YES,1,NO,YES,YES,YES
ID12282,35,MALE,RURAL,56658.9,NO,0,NO,YES,YES,YES
ID12283,65,FEMALE,INNER_CITY,37706.5,YES,0,YES,YES,YES,NO
ID12284,48,FEMALE,INNER_CITY,18516,YES,2,YES,YES,YES,NO
ID12285,38,FEMALE,INNER_CITY,29622,YES,2,YES,YES,NO,NO
ID12286,49,MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES
ID12287,20,FEMALE,INNER_CITY,18275.5,YES,1,NO,NO,NO,YES
ID12288,45,FEMALE,TOWN,34410,YES,3,NO,NO,YES,YES
ID12289,38,MALE,INNER_CITY,37878,YES,2,YES,YES,YES,NO
ID12290,41,FEMALE,INNER_CITY,21796.6,YES,0,NO,NO,YES,NO
ID12291,67,FEMALE,TOWN,63130.1,YES,2,YES,YES,YES,YES
ID12292,39,FEMALE,INNER_CITY,14996.4,YES,1,YES,YES,NO,NO
ID12293,64,FEMALE,RURAL,49024.9,YES,3,NO,NO,YES,YES
ID12294,41,MALE,INNER_CITY,16249.8,YES,0,YES,YES,YES,YES
ID12295,55,MALE,TOWN,36192.1,YES,2,YES,NO,YES,YES
ID12296,40,FEMALE,INNER_CITY,17839.9,YES,1,NO,YES,NO,YES
ID12297,34,FEMALE,INNER_CITY,18802.4,NO,0,NO,NO,YES,YES
ID12298,52,FEMALE,INNER_CITY,20730,YES,1,YES,YES,YES,YES
ID12299,26,MALE,INNER_CITY,14585.9,YES,2,NO,NO,NO,NO
ID12300,26,FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,YES
ID12301,46,FEMALE,TOWN,26077.8,YES,0,YES,YES,YES,YES
ID12302,46,FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,NO
ID12303,52,FEMALE,INNER_CITY,16977.3,YES,0,NO,NO,YES,NO
ID12304,37,MALE,INNER_CITY,19012.8,NO,3,YES,NO,YES,NO
ID12305,22,FEMALE,INNER_CITY,43638,YES,1,NO,NO,YES,YES
ID12306,18,MALE,TOWN,14388.6,NO,0,YES,YES,YES,YES
ID12307,63,FEMALE,INNER_CITY,59409.1,YES,0,YES,YES,YES,YES
ID12308,25,FEMALE,RURAL,14960.2,YES,0,NO,YES,YES,NO
ID12309,67,MALE,TOWN,39666.6,YES,0,YES,YES,YES,NO
ID12310,27,MALE,INNER_CITY,20771.9,NO,0,NO,YES,NO,YES
ID12311,61,MALE,INNER_CITY,24474.1,NO,0,YES,NO,NO,YES
ID12312,45,FEMALE,TOWN,33123.7,YES,1,YES,YES,YES,YES
ID12313,22,MALE,INNER_CITY,10803,YES,0,YES,YES,YES,YES
ID12314,28,MALE,RURAL,13175.5,NO,1,NO,NO,YES,YES
ID12315,23,FEMALE,INNER_CITY,9824.37,YES,2,YES,YES,YES,NO
ID12316,27,MALE,SUBURBAN,48811,YES,0,NO,YES,YES,NO
ID12317,27,FEMALE,SUBURBAN,15156.2,YES,0,YES,NO,YES,NO
ID12318,40,FEMALE,INNER_CITY,31774.1,YES,3,YES,YES,YES,NO
ID12319,39,MALE,TOWN,35519,YES,4,YES,YES,NO,YES
ID12320,35,MALE,INNER_CITY,28598.7,YES,0,YES,YES,YES,NO
ID12321,37,FEMALE,INNER_CITY,26261.7,YES,2,YES,YES,NO,NO
ID12322,47,MALE,INNER_CITY,42124.1,YES,0,NO,NO,YES,YES
ID12323,31,FEMALE,INNER_CITY,39308.7,YES,1,NO,NO,NO,YES
ID12324,67,FEMALE,INNER_CITY,43530,YES,3,NO,YES,NO,NO
ID12325,57,MALE,RURAL,34023,YES,0,NO,YES,YES,YES
ID12326,47,MALE,RURAL,27434.8,NO,0,YES,YES,NO,YES
ID12327,67,MALE,TOWN,50474.6,YES,2,YES,YES,YES,YES
